texto,sentimento
Gente eu amo os perfumes egeo da boticário,1
"Carai botica 214 da boticário eu te amo ""dark mint"" pqp eu não sei descrever",1
Comprar o Boticário com a minha tia é um perigo ela sai parcelando que você perder de vista kkkkk,0
"@CentralEslo Boticário
ESLU EM CARUARU",0
Uso natura e boticário feliz da vida kkkkkkkkk,1
"Ainda mais que quase ngm tem meu cheiro, importadissimo kkkkk morro de ciúme eu hein. Deixo pra vcs com cheiro de natura e o Boticário 🤣",-1
"Esse povo tá mentindo q usa uns tal perfumes ein kkkkkk eu já falo a real, uso boticário natura e as vezes um importado kkkk não forço a barra fala a vdd pô",-1
@paulo_capeletti Entra no site da Boticário aí então,0
O creme deleite da @boticario é o melhor ❤️,1
"@Antonio09636317 Amigo, tô contigo.
Mês passado meu aniversário,uma amiga me presenteou com um perfume do Boticário, gentilmente agradeci e devolvi.",-1
Comprei 2 perfumes p mim na boticário. 😍,1
Se eu tivesse uns 160 reais pra ir pra na Boticário hoje eu seria uma mulher realizada,1
"Meus amigos minha irmã me deu um perfume da Carolina Herrera, é a primeira vez com 27 anos de idade que vou usar perfume que não é da Jequiti, avom, natura ou Boticário… feio posso ser mas sou cheiroso agora  👍🏽",-1
"Com sono, com fome, mas muito cheirosa obg linha de bumbum do boticario 🤝",1
"minha mãe me deu um lily e um 214 da boticário, aí amo andar cheirosa 😍",1
"Pow depois de comprar uma bebida com gosto de floratta da Boticário, provei essa aqui, e é boa viu, podem ir, não tem gosto de Rexona v8 https://t.co/Vvi0F7GH6E",0
@LulaOficial Ela vende o quê? Jequiti ou Boticário?,0
@Antonio09636317 Falta me livrar da @boticario e do @BancoIT72901806 @itau os demais estou liberta! Só lixo!,-1
"❤

EITA PORRA KKKKKKKK sou fã do boticario desde criança!!",1
"O Boticário lançou uma linha chamada ""Morango Ruby""
Já tô fazendo as contas pra ver se tem como pegar o kit",1
Por Deus eu só com hidratante do boticário e natura e a minha pele clamando por um nivea de 10 reais,0
me dei um hidratante novo da boticário e eh sobre isso,1
"Não entendo como tem gente que não gosta de ganhar sabonete da Boticário/Natura, eu sou ensandecida por esses sabonetes, faria um estoque fácil",1
Lembra? Boticário maquiou mulheres no dia do divórcio e a reação dos ex-maridos viralizou – Vídeo https://t.co/oQeaVdWL1a,0
"Um baiano hj na esquina de Uruguaiana com Pres. Vargas que era 171 gastou a lábia para tentar me vender um perfume falsificado do Boticário. Chamou-me de ""amigo"" e que o pai dele estava com ""muita saudade de mim"". Levou 5 pratas pela performance. E taquei o banho de cheiro nele.",0
"Eu comprando presente pra minha amiga mais milionária fico só pensando ""imagina ela abrindo esse hidratante da Boticário o tanto que ela vai rir""",-1
@pandinp @VeridianaFLR parece perfume do boticario,0
Meu cheirin de cigarro com perfume Boticário skskskks,0
Fazendo meu cabelo na santa paz de Cristo e me vem Meire me mostrando revista da Boticário cheia de promoção 🥲,-1
"@poxaperez queria ser assim 😭 desde que a Boticário tirou o Egeo Provoque de linha eu sofro tentando achar ""meu cheiro"" de novo",-1
O Boticário e acnase patrocinando equipe de eSports pros gamers andarem cheirosos e sem espinhas,1
"o tanto que eu tô cheirosa não é brincadeira, te amo boticário",1
Um dia eu aprendo a me maquiar que nem as vendedoras do Boticário,1
"@CaiocesargD Meu perfume preferido esse viu mano, fui na boticário do Veneza quase fiz uma loucura",1
"😱😱😱😱😱😱

Colônia Quasar Next Star Wars The Mandalorian 50ml - O Boticário

R$ 48,90

Preço em promoção ou estoque da oferta pode expirar rapidamente. CONFIRA: 

https://t.co/Cvr0fmSv7c https://t.co/MZ1zGGF4PQ",0
"😱😱😱😱😱😱

Desodorante Colônia L'eau de Lily 75ml - O Boticário

R$ 138,90

Preço em promoção ou estoque da oferta pode expirar rapidamente. CONFIRA: 

https://t.co/srisJuQAPp https://t.co/M2jqKLUcTF",0
"Fui tratada igual um pedaço de cocô no Boticário da Nilo Peçanha, em Nova Iguaçu. Me ignoraram e depois me mandaram esperar numa fila só p/ confirmar o preço de um kit. Perdi a paciência e fui embora! Compro amanhã no Shopping Grande Rio, e olha q nem era pra comprar mais no Boti",-1
"aqui a o Boticário entregou tudo, só faltou o black que é meu preferido",1
experimentei um perfume tão incrível hj na boticário 🤤🤤 acho q achei meu cheiro mas n tenho dinheiro KKKKKKKKKKKKKK POBREZA MISERÁVELLLLL,1
"KWKTKWKFKWKSJEJS O TEMPLATE ROUBADO DA O BOTICÁRIO

enfim, 🕳️ o que issi significa",0
Dei 200 na boticario e vou dar mais 200 na epoca cosmeticos resto do mês como sal e bolacha cream cracker,0
Jackie Pinheiro: Rebecca se une ao Boticário para lançar Nativa SPA Morango Ruby https://t.co/GI6P4fwgmM,0
"Caralho fui comprar um pijama pra minha amiga( amiga de infância) e agora sou madrinha de casamento, paguei 80 reais 🙆🏽‍♀️ eu considero ela mt viu pqp viu o pijama caro +creme da boticário",-1
Acabei de pagar minha conta na O boticário esse mes e ja fui la e comprei a nova linha de morango deles 🫶🏽🥰,1
Minha cuma me deu um perfume cheirosão da o boticário..🥰,1
minha sugestão pra manu gavassi é continuar nas maquiagens (a linha dela pro boticário é bem boa),1
Tô doida no body splash viagem encantada do o boticário e tá esgotado no site,1
"viciada em ver minha caixa de e-mail 
na esperança de um dia receber um da boticário que fui contratada

ja pensou?",0
"Esse Perfume Elysee Da Boticário E Bom Pra Crlh, Novinha Roncou 😬",1
"@doritosbrasil Nossa a Doritos deve estar morrendo de medo dos gados, não era esse povo que ia falir o Boticário,o burguer king,o Google  kkkk vão sonhando otários",-1
O foda de trabalhar no Boticário é deixar metade do salário no próprio Boticário kkkkkkkkkkkkkkk,-1
@NairaJlia1 Natura e boticário ainda e muito tem gente que nunca usou um perfume desses kkkkk,0
@discodollf ja vi uma cosmetologista dizendo q a boticario eh mt cuidadosa tbm com dermocosmeticos,1
"3.Cancelei meus investimentos no XP. Encerrei cc de 39 anos no Itaú.Não bebo nada da Ambev/Brahma-Skol-Antarctica, Eisenbahn.Não compro no Magalu, na Hering,nas Americanas, no McDonalds,  no Boticario e na Natura e na Bauducco, não assisto Grobo nem CNN, Band. Tamos conversados!",-1
@unsurescorpion Boticário rainha nacional bate todos os perfumes gringos,1
"Dei de maluca na O Boticário, comprei 3 perfumes e 2 hidratantes. 😂😳",0
"@manotelli Eu cheguei lá a primeira vez e tinha seda e toalha cheia de pelo de gato. Tinha desodorante nivea men, perfume boticário e um monte de blusa, meia e cueca furada. Hoje, as coisas furadas já não existem e o resto continua o mesmo pq é dele.",0
"@lanaphani eu uso a supermatte da quem disse Berenice ou a matte efect da Boticário miga, amo. São levinhas!",1
Roubou o template do boticário,-1
Rebecca se une ao Boticário para lançar Nativa SPA Morango Ruby em campanha criada pela AlmapBBDO e dirigida por Giovanni Bianco https://t.co/hqyWj9hkXa,0
"O desgraçado do moço que foi arrumar meu guarda roupas  quebrou meu perfume que tava praticamente cheio, dia ótimo.

Aí fui na boticario comprar outro e não tinha mais 😭😭😭",-1
"Esse povo muito kozeiro kkkkkkkkkk geral colocando perfurme importado, ninguém coloca Avon, natura e boticário",0
alguém me dá um kit da linha nova da o boticario de morango 😭,0
@marciotmello boticário vida,0
"Como se fosse tão simples vender Boticário, só o kit que te mandam comprar para quem não tem dinheiro é inviável. 

#EDecasa",-1
