texto_final,sentimento
gente amo perfumes egeo boticário,1
"carai botica 214 boticário amo ""dark mint"" puta pariu não sei descrever",1
comprar boticário tia perigo sai parcelando perder vista kkk,0
boticário eslu caruaru,0
uso natura boticário feliz vida kkk,1
ainda quase ninguém cheiro importadissimo kkk morro ciúme hein. deixo cheiro natura boticário rolando_no_chão_de_rir,-1
povo tá mentindo usa uns tal perfumes ein kkk falo real uso boticário natura vezes importado kkk não forço barra fala verdade pô,-1
entra site boticário aí então,0
creme deleite melhor coração_vermelho,1
amigo tô contigo. mês passado aniversáriouma amiga presenteou perfume boticário gentilmente agradeci devolvi.,-1
comprei 2 perfumes mim boticário. rosto_sorridente_com_olhos_de_coração,1
uns 160 reais ir boticário hoje mulher realizada,1
amigos irmã deu perfume carolina herrera primeira vez 27 anos idade vou usar perfume não jequiti avom natura boticário… feio posso cheiroso agora polegar_para_cima_pele_morena,-1
sono fome cheirosa obrigado linha bumbum boticario aperto_de_mãos,1
mãe deu lily 214 boticário aí amo andar cheirosa rosto_sorridente_com_olhos_de_coração,1
pow comprar bebida gosto floratta boticário provei aqui boa viu podem ir não gosto rexona v8,0
vende quê? jequiti boticário?,0
falta livrar demais liberta! lixo!,-1
coração_vermelho eita porra kkk fã boticario desde criança!!,1
"boticário lançou linha chamada ""morango ruby"" tô fazendo contas ver pegar kit",1
deus hidratante boticário natura pele clamando nivea 10 reais,0
dei hidratante novo boticário eh sobre,1
não entendo gente não gosta ganhar sabonete boticário/natura ensandecida sabonetes faria estoque fácil,1
lembra? boticário maquiou mulheres dia divórcio reação ex-maridos viralizou – vídeo,0
"baiano hj esquina uruguaiana pres. vargas 171 gastou lábia tentar vender perfume falsificado boticário. chamou-me ""amigo"" pai ""muita saudade mim"". levou 5 pratas performance. taquei banho cheiro nele.",0
"comprando presente amiga milionária fico pensando ""imagina abrindo hidratante boticário tanto vai rir""",-1
parece perfume boticario,0
cheirin cigarro perfume boticário skskskks,0
fazendo cabelo santa paz cristo vem meire mostrando revista boticário cheia promoção rosto_sorridente_com_lágrima,-1
"queria assim rosto_chorando_aos_berros desde boticário tirou egeo provoque linha sofro tentando achar ""meu cheiro"" novo",-1
boticário acnase patrocinando equipe esports pros gamers andarem cheirosos espinhas,1
tanto tô cheirosa não brincadeira amo boticário,1
dia aprendo maquiar nem vendedoras boticário,1
perfume preferido viu mano boticário veneza quase fiz loucura,1
rosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medo colônia quasar next star wars the mandalorian 50ml - boticário r$ 4890 preço promoção estoque oferta pode expirar rapidamente. confira,0
rosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medorosto_gritando_de_medo desodorante colônia l'eau lily 75ml - boticário r$ 13890 preço promoção estoque oferta pode expirar rapidamente. confira,0
tratada igual pedaço cocô boticário nilo peçanha nova iguaçu. ignoraram mandaram esperar fila p/ confirmar preço kit. perdi paciência embora! compro amanhã shopping grande rio olha nem comprar boti,-1
aqui boticário entregou tudo faltou black preferido,1
experimentei perfume tão incrível hj boticário rosto_babandorosto_babando acho achei cheiro não dinheiro kkkkkkkkkkkkkk pobreza miserávelllll,1
kwktkwkfkwksjejs template roubado boticário enfim buraco issi significa,0
dei 200 boticario vou dar 200 epoca cosmeticos resto mês sal bolacha cream cracker,0
jackie pinheiro rebecca une boticário lançar nativa spa morango ruby,0
caralho comprar pijama amiga( amiga infância) agora madrinha casamento paguei 80 reais mulher_fazendo_gesto_de_“ok”_pele_morena considero mt viu puta pariu viu pijama caro +creme boticário,-1
acabei pagar conta boticário mes ja la comprei nova linha morango 🫶🏽rosto_sorridente_com_3_corações,1
cuma deu perfume cheirosão boticário..rosto_sorridente_com_3_corações,1
sugestão manu gavassi continuar maquiagens (a linha pro boticário bem boa),1
tô doida body splash viagem encantada boticário tá esgotado site,1
viciada ver caixa e-mail esperança dia receber boticário contratada ja pensou?,0
perfume elysee boticário bom crlh novinha roncou rosto_expressando_desagrado,1
doritos deve morrendo medo gados não povo ia falir boticárioo burguer kingo google kkk vão sonhando otários,-1
foda trabalhar boticário deixar metade salário próprio boticário kkkkkkkkkkkkkkk,-1
natura boticário ainda gente nunca usou perfume desses kkk,0
ja vi cosmetologista dizendo boticario eh mt cuidadosa tbm dermocosmeticos,1
3.cancelei investimentos xp. encerrei cc 39 anos itaú.não bebo nada ambev/brahma-skol-antarctica eisenbahn.não compro magalu heringnas americanas mcdonalds boticario natura bauducco não assisto grobo nem cnn band. tamos conversados!,-1
boticário rainha nacional bate todos perfumes gringos,1
dei maluca boticário comprei 3 perfumes 2 hidratantes. rosto_chorando_de_rirrosto_ruborizado,0
cheguei lá primeira vez seda toalha cheia gato. desodorante nivea men perfume boticário monte blusa meia cueca furada. hoje coisas furadas não existem resto continua porque dele.,0
uso supermatte disse berenice matte efect boticário miga amo. levinhas!,1
roubou template boticário,-1
rebecca une boticário lançar nativa spa morango ruby campanha criada almapbbdo dirigida giovanni bianco,0
desgraçado moço arrumar guarda roupas quebrou perfume tava praticamente cheio dia ótimo. aí boticario comprar outro não rosto_chorando_aos_berrosrosto_chorando_aos_berrosrosto_chorando_aos_berros,-1
povo kozeiro kkk geral colocando perfurme importado ninguém coloca avon natura boticário,0
alguém dá kit linha nova boticario morango rosto_chorando_aos_berros,0
boticário vida,0
tão simples vender boticário kit mandam comprar não dinheiro inviável. #edecasa,-1
negocio vida vender boticario. af globo #edecasa,0
amo aqui sabe? professor médica veterinária dona boticário sócia chilibeans médica obrigada terem ido consumido sempre volto flavia 2015 tô flavia feliz amo,1
