date,likes,user,location,text
2022-06-18 23:52:57+00:00,0,kejkjm7,Tocantins e Paraná ,Gente eu amo os perfumes egeo da boticário
2022-06-18 23:52:40+00:00,1,Kevlinha,,"Carai botica 214 da boticário eu te amo ""dark mint"" pqp eu não sei descrever"
2022-06-18 23:49:25+00:00,0,BruChristina_,"Rio de Janeiro, Brasil",Comprar o Boticário com a minha tia é um perigo ela sai parcelando que você perder de vista kkkkk
2022-06-18 23:44:35+00:00,0,christina12567,,"@CentralEslo Boticário
ESLU EM CARUARU"
2022-06-18 23:41:23+00:00,1,BarcellossClara,"Nilópolis, Brasil",Uso natura e boticário feliz da vida kkkkkkkkk
2022-06-18 23:34:42+00:00,2,Eudeboraneves,🏳️‍🌈,"Ainda mais que quase ngm tem meu cheiro, importadissimo kkkkk morro de ciúme eu hein. Deixo pra vcs com cheiro de natura e o Boticário 🤣"
2022-06-18 23:33:38+00:00,2,nathaliekuci__,Porto Alegre - Restinga,"Esse povo tá mentindo q usa uns tal perfumes ein kkkkkk eu já falo a real, uso boticário natura e as vezes um importado kkkk não forço a barra fala a vdd pô"
2022-06-18 23:24:24+00:00,0,timoteo_C_,"Rio Grande do Sul, Brasil",@paulo_capeletti Entra no site da Boticário aí então
2022-06-18 23:23:51+00:00,1,patriciakvarela,Brasil,O creme deleite da @boticario é o melhor ❤️
2022-06-18 23:18:08+00:00,0,Juniorp55686250,,"@Antonio09636317 Amigo, tô contigo.
Mês passado meu aniversário,uma amiga me presenteou com um perfume do Boticário, gentilmente agradeci e devolvi."
2022-06-18 23:09:24+00:00,0,Laisa_Carlota,021,Comprei 2 perfumes p mim na boticário. 😍
2022-06-18 23:04:45+00:00,3,bibdentinho,Esa da cachorrinha,Se eu tivesse uns 160 reais pra ir pra na Boticário hoje eu seria uma mulher realizada
2022-06-18 23:01:00+00:00,3,ViniciuLucca,,"Meus amigos minha irmã me deu um perfume da Carolina Herrera, é a primeira vez com 27 anos de idade que vou usar perfume que não é da Jequiti, avom, natura ou Boticário… feio posso ser mas sou cheiroso agora  👍🏽"
2022-06-18 22:36:09+00:00,3,mndadss,Brasil,"Com sono, com fome, mas muito cheirosa obg linha de bumbum do boticario 🤝"
2022-06-18 22:32:13+00:00,0,May_bcosta1,São João de meriti. ,"minha mãe me deu um lily e um 214 da boticário, aí amo andar cheirosa 😍"
2022-06-18 22:27:38+00:00,34,Pizza_Sempre,Brasil,"Pow depois de comprar uma bebida com gosto de floratta da Boticário, provei essa aqui, e é boa viu, podem ir, não tem gosto de Rexona v8 https://t.co/Vvi0F7GH6E"
2022-06-18 22:23:33+00:00,0,rogelio_lacerda,Poá,@LulaOficial Ela vende o quê? Jequiti ou Boticário?
2022-06-18 22:21:39+00:00,0,gutbsb,"Washington, DC",@Antonio09636317 Falta me livrar da @boticario e do @BancoIT72901806 @itau os demais estou liberta! Só lixo!
2022-06-18 21:23:44+00:00,0,marexarsenal,FLUMINENSE ,"❤

EITA PORRA KKKKKKKK sou fã do boticario desde criança!!"
